# Station : HERBAUDIERE
# Longitude : -2.298913
# Latitude : 47.024943
# Organisme fournisseur de données : Shom, CCNoirmoutier, CCI Vendée, CG85
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
01/01/2021 00:00:00;2.159;4
01/01/2021 01:00:00;3.155;4
01/01/2021 02:00:00;4.259;4
01/01/2021 03:00:00;5.173;4
01/01/2021 04:00:00;5.621;4
01/01/2021 05:00:00;5.588;4
01/01/2021 06:00:00;5.311;4
01/01/2021 07:00:00;4.747;4
01/01/2021 08:00:00;3.88;4
01/01/2021 09:00:00;2.837;4
01/01/2021 10:00:00;1.94;4
01/01/2021 11:00:00;1.511;4
01/01/2021 12:00:00;1.697;4
01/01/2021 13:00:00;2.468;4
01/01/2021 14:00:00;3.587;4
01/01/2021 15:00:00;4.615;4
01/01/2021 16:00:00;5.291;4
01/01/2021 17:00:00;5.449;4
01/01/2021 18:00:00;5.232;4
01/01/2021 19:00:00;4.79;4
01/01/2021 20:00:00;4.038;4
01/01/2021 21:00:00;3.045;4
01/01/2021 22:00:00;2.09;4
01/01/2021 23:00:00;1.575;4
02/01/2021 00:00:00;1.678;4
02/01/2021 01:00:00;2.394;4
02/01/2021 02:00:00;3.511;4
02/01/2021 03:00:00;4.587;4
02/01/2021 04:00:00;5.339;4
02/01/2021 05:00:00;5.566;4
02/01/2021 06:00:00;5.425;4
02/01/2021 07:00:00;5.065;4
02/01/2021 08:00:00;4.414;4
02/01/2021 09:00:00;3.474;4
02/01/2021 10:00:00;2.439;4
02/01/2021 11:00:00;1.644;4
02/01/2021 12:00:00;1.398;4
02/01/2021 13:00:00;1.78;4
02/01/2021 14:00:00;2.746;4
02/01/2021 15:00:00;3.893;4
02/01/2021 16:00:00;4.789;4
02/01/2021 17:00:00;5.254;4
02/01/2021 18:00:00;5.243;4
02/01/2021 19:00:00;4.991;4
02/01/2021 20:00:00;4.523;4
02/01/2021 21:00:00;3.727;4
02/01/2021 22:00:00;2.731;4
02/01/2021 23:00:00;1.882;4
03/01/2021 00:00:00;1.559;4
03/01/2021 01:00:00;1.859;4
03/01/2021 02:00:00;2.727;4
03/01/2021 03:00:00;3.854;4
03/01/2021 04:00:00;4.832;4
03/01/2021 05:00:00;5.37;4
03/01/2021 06:00:00;5.42;4
03/01/2021 07:00:00;5.225;4
03/01/2021 08:00:00;4.854;4
03/01/2021 09:00:00;4.172;4
03/01/2021 10:00:00;3.233;4
03/01/2021 11:00:00;2.259;4
03/01/2021 12:00:00;1.601;4
03/01/2021 13:00:00;1.506;4
03/01/2021 14:00:00;2.058;4
03/01/2021 15:00:00;3.113;4
03/01/2021 16:00:00;4.171;4
03/01/2021 17:00:00;4.901;4
03/01/2021 18:00:00;5.167;4
03/01/2021 19:00:00;5.084;4
03/01/2021 20:00:00;4.827;4
03/01/2021 21:00:00;4.309;4
03/01/2021 22:00:00;3.486;4
03/01/2021 23:00:00;2.595;4
04/01/2021 00:00:00;1.909;4
04/01/2021 01:00:00;1.699;4
04/01/2021 02:00:00;2.073;4
04/01/2021 03:00:00;3.004;4
04/01/2021 04:00:00;4.089;4
04/01/2021 05:00:00;4.929;4
04/01/2021 06:00:00;5.334;4
04/01/2021 07:00:00;5.315;4
04/01/2021 08:00:00;5.077;4
04/01/2021 09:00:00;4.633;4
04/01/2021 10:00:00;3.942;4
04/01/2021 11:00:00;3.035;4
04/01/2021 12:00:00;2.147;4
04/01/2021 13:00:00;1.674;4
04/01/2021 14:00:00;1.76;4
04/01/2021 15:00:00;2.443;4
04/01/2021 16:00:00;3.42;4
04/01/2021 17:00:00;4.284;4
04/01/2021 18:00:00;4.836;4
04/01/2021 19:00:00;5.011;4
04/01/2021 20:00:00;4.94;4
04/01/2021 21:00:00;4.717;4
04/01/2021 22:00:00;4.19;4
04/01/2021 23:00:00;3.402;4
05/01/2021 00:00:00;2.525;4
05/01/2021 01:00:00;1.889;4
05/01/2021 02:00:00;1.789;4
05/01/2021 03:00:00;2.321;4
05/01/2021 04:00:00;3.272;4
05/01/2021 05:00:00;4.218;4
05/01/2021 06:00:00;4.878;4
05/01/2021 07:00:00;5.129;4
05/01/2021 08:00:00;5.089;4
05/01/2021 09:00:00;4.879;4
05/01/2021 10:00:00;4.485;4
05/01/2021 11:00:00;3.832;4
05/01/2021 12:00:00;2.969;4
05/01/2021 13:00:00;2.171;4
05/01/2021 14:00:00;1.762;4
05/01/2021 15:00:00;1.912;4
05/01/2021 16:00:00;2.599;4
05/01/2021 17:00:00;3.51;4
05/01/2021 18:00:00;4.276;4
05/01/2021 19:00:00;4.717;4
05/01/2021 20:00:00;4.826;4
05/01/2021 21:00:00;4.771;4
05/01/2021 22:00:00;4.582;4
